Source.Name,kind,commentId,channelId,videoId,authorId,textOriginal,parentCommentId,likeCount,publishedAt,updatedAt
comments1.csv,youtube#comment,1781382,14492,74288,2032536,"PLEASE LESBIAN FLAG I BEG YOU 

You would rock it",,0,16/8/2023 5:48,16/8/2023 5:48
comments1.csv,youtube#comment,289571,14727,79618,3043229,Apply mashed potato juice and mixed it with curd,3198066,0,2/10/2023 21:08,2/10/2023 21:08
comments1.csv,youtube#comment,569077,3314,51826,917006,69 missed calls from mars👽,,0,31/5/2024 20:03,31/5/2024 20:03
comments1.csv,youtube#comment,2957962,5008,58298,1853470,Baaa,,0,13/2/2024 23:48,13/2/2024 23:48
comments1.csv,youtube#comment,673093,21411,1265,2584166,you look like raven from phenomena raven no cap,,0,16/2/2020 6:28,16/2/2020 6:28
comments1.csv,youtube#comment,1525723,18073,69091,1915402,American,,0,17/1/2023 20:50,17/1/2023 20:50
comments1.csv,youtube#comment,3079259,2988,91785,885833,Sahi disha me ja ja raha india ka Future..,,0,3/9/2021 14:51,3/9/2021 14:51
comments1.csv,youtube#comment,579871,45729,66477,2775194,❤❤❤❤❤❤❤❤❤❤,,0,18/1/2025 6:08,18/1/2025 6:08
comments1.csv,youtube#comment,4596873,18670,88816,1040123,Love your videos. Thank you ❤❤❤,,1,24/6/2023 15:24,24/6/2023 15:24
comments1.csv,youtube#comment,910365,25235,31185,1092265,India is  the best and  very beautiful 😍😍😍😍😍😍😍❤️❤️❤️❤️,,0,27/2/2025 22:49,27/2/2025 22:49
comments1.csv,youtube#comment,779733,36205,72492,3158722,❤,,1,11/4/2023 15:02,11/4/2023 15:02
comments1.csv,youtube#comment,1204214,33644,86518,1756840,This is so true. Skinny jeans always nipped me😭😭😭,,1,16/6/2023 23:14,16/6/2023 23:14
comments1.csv,youtube#comment,957058,20162,75828,1548100,Dunia semakin aneh,,0,28/4/2023 12:13,28/4/2023 12:13
comments1.csv,youtube#comment,4672340,29550,53751,1064748,I love korean and japanese makeup!,,0,25/1/2025 13:27,25/1/2025 13:27
